year,county,pct_fair_poor_health,pct_smokers,pct_obesity,food_env_index,pct_excess_drinking,pct_uninsured,prim_care_phys_rate,mental_health_prov_rate,preventable_rate,pct_children_poverty,avg_daily_pm25,pct_severe_hous_prob,severe_hous_cost_burden,pct_overcrowding,pct_freq_ment_distress,pct_freq_phys_distress,pct_diabetes,pct_food_insecure,pct_limit_access_health_food,pct_drug_overdose_mortality,median_hh_income,pct_hs_complete,pct_some_college,pct_unemployed,pct_single_parent_hous,pct_under18,pct_over65,pct_nh_black,pct_ai_an,pct_asian,pct_nh_opi,pct_hispanic,pct_nh_white,pct_female,pct_rural
2022,Alameda,16,10,24,9.1,17,5,111,692,2783.0,9,14.4,23,17,8,11,10,9,8,1,15.0,113518,89.0,77,8.8,19,20.2,14.7,10.0,1.1,33.2,0.9,22.2,30.0,50.8,0.4
2022,Alpine,20,16,30,6.6,20,9,0,357,0.0,25,8.3,20,23,4,15,14,10,13,17,0.0,64542,95.0,52,11.2,35,18.9,25.6,0.4,25.4,1.9,0.0,13.0,60.9,47.7,100.0
2022,Amador,17,14,29,8.8,23,7,60,257,2475.0,13,13.6,18,16,3,14,12,9,11,0,23.0,68141,91.0,58,9.1,22,15.1,28.0,2.6,2.3,1.7,0.3,14.9,76.8,45.7,60.4
2022,Butte,19,15,32,7.4,20,8,62,774,4754.0,19,13.8,23,19,3,15,13,10,14,6,28.0,54718,90.0,69,9.2,21,20.2,18.4,1.6,2.7,5.2,0.3,17.9,69.9,50.5,18.9
2022,Calaveras,17,15,30,8.0,22,8,46,194,2477.0,16,14.7,20,18,2,15,12,9,12,6,21.0,66329,90.0,59,7.6,24,16.9,28.9,0.9,2.0,1.8,0.3,13.3,79.5,50.1,75.4
2022,Colusa,25,14,32,7.0,19,12,28,209,4730.0,13,11.8,18,11,7,14,14,12,13,12,0.0,59422,73.0,51,16.0,19,27.0,15.4,1.1,2.9,1.6,0.6,60.4,33.8,49.1,31.7
2022,Contra Costa,16,10,24,9.1,19,6,102,381,2959.0,8,13.5,20,16,5,12,10,9,8,3,16.0,106484,90.0,72,8.9,19,22.2,16.7,8.7,1.1,18.9,0.6,26.3,41.8,51.1,0.8
2022,Del Norte,23,18,33,6.3,20,8,58,468,2595.0,23,11.6,20,16,5,16,15,11,16,14,19.0,47442,80.0,42,9.5,29,20.7,19.0,3.4,9.8,3.2,0.2,20.4,61.7,45.4,33.7
2022,El Dorado,14,12,26,8.7,23,6,79,382,2985.0,9,12.0,18,15,2,13,11,8,9,4,18.0,87792,94.0,70,8.3,15,19.6,22.8,0.9,1.4,5.0,0.2,13.3,76.7,50.3,34.7
2022,Fresno,26,14,38,7.4,16,10,69,421,3649.0,23,17.1,27,19,9,14,14,14,15,5,14.0,61401,77.0,57,11.3,27,28.1,12.8,4.6,3.1,11.5,0.3,54.1,27.9,50.1,10.8
2022,Glenn,24,15,32,7.3,20,12,14,113,5270.0,17,13.8,21,18,4,15,15,12,14,9,25.0,57779,74.0,44,8.9,21,26.7,16.6,0.9,3.5,3.0,0.2,43.1,50.0,49.1,40.9
2022,Humboldt,19,15,28,7.5,21,10,63,533,2970.0,19,7.8,24,20,4,15,14,10,15,5,27.0,56071,91.0,67,8.4,25,18.8,19.1,1.2,6.4,2.9,0.4,12.5,73.2,50.5,29.8
2022,Imperial,29,13,36,6.3,18,10,25,177,3190.0,25,13.5,27,18,10,14,16,15,19,8,25.0,47599,70.0,54,22.5,31,28.5,13.6,2.4,2.5,2.1,0.2,85.4,9.6,48.8,17.4
2022,Inyo,18,14,28,8.1,22,9,94,499,2948.0,15,7.5,18,15,2,14,12,9,10,8,41.0,55981,91.0,63,7.8,26,20.6,24.3,1.0,13.8,1.7,0.2,23.7,60.5,49.9,46.4
2022,Kern,27,15,36,7.4,16,9,49,231,4040.0,25,19.0,24,17,9,15,16,13,14,8,32.0,58583,75.0,49,12.5,25,28.7,11.6,5.2,2.7,5.6,0.3,55.2,32.1,48.9,10.2
2022,Kings,26,14,35,7.6,20,9,36,219,3825.0,18,17.6,22,15,8,14,15,13,13,7,15.0,60319,74.0,51,11.6,24,26.9,10.9,6.3,3.2,4.4,0.4,55.6,30.9,45.0,10.9
2022,Lake,22,17,32,7.7,19,9,43,402,3324.0,22,9.2,20,18,3,16,15,11,15,2,71.0,52345,86.0,54,9.6,27,21.4,23.5,1.7,4.6,1.4,0.3,22.8,67.9,50.1,33.1
2022,Lassen,22,17,31,7.5,21,5,29,316,3392.0,16,9.4,14,13,1,14,14,10,12,9,28.0,63803,81.0,38,7.1,24,17.9,16.3,7.6,4.3,1.7,0.9,19.6,64.7,38.6,70.5
2022,Los Angeles,22,11,28,8.6,17,11,74,408,3637.0,17,14.7,32,23,11,12,12,11,11,1,14.0,75624,80.0,65,12.8,25,21.1,14.5,8.0,1.5,15.7,0.4,48.5,25.8,50.7,0.6
2022,Madera,26,14,33,7.9,18,11,43,173,3175.0,19,14.2,24,16,9,15,15,13,13,5,14.0,68744,72.0,49,10.8,21,27.3,14.6,3.1,4.6,2.6,0.3,59.5,32.6,51.6,32.9
2022,Marin,12,10,23,9.3,21,5,148,835,1690.0,6,11.2,22,19,4,11,9,7,7,1,17.0,127601,94.0,79,6.7,18,19.5,23.6,2.6,1.0,6.8,0.3,16.4,70.7,51.1,6.5
2022,Mariposa,18,15,28,7.8,22,10,35,309,3347.0,19,14.8,20,17,2,15,13,9,14,3,21.0,56887,91.0,69,10.9,39,16.3,28.8,1.1,3.8,1.6,0.2,12.7,78.6,49.5,100.0
2022,Mendocino,20,15,31,7.6,21,11,91,809,2468.0,19,11.4,26,21,5,15,14,10,14,6,44.0,53176,87.0,58,8.9,29,21.1,23.7,0.8,6.6,2.3,0.3,26.4,63.8,50.4,45.2
2022,Merced,27,14,35,7.3,17,11,45,217,4528.0,23,15.2,25,16,10,15,16,13,14,8,16.0,58998,70.0,49,12.2,27,29.0,11.7,3.0,2.6,8.0,0.4,61.5,25.8,49.5,14.3
2022,Modoc,21,17,31,6.1,20,11,68,331,3140.0,28,10.0,14,12,3,16,15,10,16,17,0.0,46838,85.0,51,8.5,25,19.4,28.7,1.1,5.4,1.2,0.4,15.0,76.6,49.8,70.0
2022,Mono,17,13,29,7.5,22,11,76,213,2144.0,10,9.8,9,9,1,13,12,9,9,17,0.0,73204,88.0,62,11.8,12,17.3,17.2,0.7,2.9,2.4,0.4,27.3,65.5,46.8,45.8
2022,Monterey,24,12,32,8.4,20,12,65,416,3206.0,15,7.3,29,18,14,13,13,12,10,5,16.0,85031,73.0,50,10.8,19,25.9,14.5,2.5,2.7,6.8,0.6,59.7,29.0,49.2,9.8
2022,Napa,16,11,29,9.1,21,9,97,627,2347.0,9,13.4,22,16,6,12,11,9,8,3,13.0,92149,86.0,66,8.7,20,19.9,20.3,2.1,1.3,9.0,0.4,34.8,51.4,50.2,13.4
2022,Nevada,15,12,25,8.0,23,7,74,997,2329.0,11,7.3,20,18,2,14,11,8,10,9,23.0,74158,95.0,74,8.0,19,16.8,28.9,0.5,1.3,1.5,0.2,9.8,84.6,50.9,42.1
2022,Orange,17,10,25,9.1,18,9,100,327,2432.0,10,11.5,27,19,9,11,11,10,8,1,16.0,98786,86.0,72,8.8,18,21.5,15.7,1.7,1.0,22.5,0.4,33.8,39.2,50.7,0.1
2022,Placer,14,11,25,8.8,22,5,124,340,1957.0,6,12.3,17,15,2,12,10,8,8,5,15.0,100662,95.0,80,7.3,14,21.9,20.4,1.7,1.1,8.7,0.3,14.7,70.6,51.2,13.8
2022,Plumas,16,14,29,8.1,23,7,80,311,3502.0,18,14.6,17,15,1,14,12,8,13,1,23.0,58489,95.0,73,10.7,30,17.4,30.4,1.0,3.1,1.1,0.2,9.7,82.5,50.2,74.0
2022,Riverside,22,13,33,8.4,19,10,44,236,3313.0,15,14.3,25,19,7,13,13,11,9,7,22.0,76409,83.0,57,9.9,22,24.6,15.2,6.3,2.0,7.4,0.5,50.6,33.2,50.1,4.6
2022,Sacramento,18,13,28,8.3,21,7,90,419,3232.0,17,12.8,22,18,5,13,12,10,11,4,18.0,72953,88.0,67,9.3,25,23.3,14.8,9.7,1.6,17.5,1.3,23.9,43.0,51.1,2.1
2022,San Benito,21,12,30,9.2,20,9,29,128,2575.0,9,7.1,22,15,8,12,12,11,7,3,14.0,91185,82.0,57,9.9,19,25.5,13.5,1.1,3.2,4.3,0.5,61.2,31.8,49.7,24.0
2022,San Bernardino,24,13,33,8.1,17,10,59,266,4002.0,20,17.6,26,19,9,13,14,12,10,9,16.0,65984,81.0,57,9.4,26,26.0,12.2,8.1,2.1,8.4,0.5,54.9,26.4,50.2,4.7
2022,San Diego,17,11,24,8.8,20,9,82,441,2774.0,11,12.9,25,20,7,12,11,9,9,3,17.0,87126,88.0,74,9.2,21,21.2,14.9,4.7,1.3,12.8,0.6,34.3,44.4,49.6,3.3
2022,San Francisco,14,9,16,8.8,21,5,161,1009,2695.0,9,11.7,24,16,6,10,9,9,11,0,45.0,121722,89.0,88,7.8,21,13.5,16.6,5.0,0.7,36.5,0.5,15.2,39.6,49.0,0.0
2022,San Joaquin,23,14,32,8.2,20,8,60,267,3410.0,17,17.8,24,18,7,14,13,12,12,5,18.0,70685,80.0,52,11.3,22,26.7,13.3,7.1,2.1,18.1,0.9,42.3,29.4,50.1,8.5
2022,San Luis Obispo,16,12,26,8.7,22,7,82,663,1864.0,9,8.6,21,18,3,13,11,9,9,4,21.0,79455,92.0,70,7.7,18,17.4,21.4,1.8,1.4,4.0,0.2,23.2,68.1,49.5,16.6
2022,San Mateo,14,9,21,9.5,20,6,106,432,1753.0,6,10.5,24,17,8,10,9,9,7,1,13.0,132369,90.0,80,6.9,16,19.9,17.1,2.2,0.9,31.5,1.5,23.8,38.0,50.4,1.9
2022,Santa Barbara,20,12,27,8.8,20,12,76,590,1846.0,13,8.6,29,20,11,13,12,10,9,3,18.0,86136,82.0,63,8.0,23,22.1,16.1,1.8,2.2,6.0,0.3,46.4,43.3,50.0,5.0
2022,Santa Clara,14,9,21,9.3,18,6,106,398,2508.0,7,12.9,23,16,8,10,9,9,7,1,12.0,139462,89.0,80,7.0,16,21.3,14.3,2.4,1.2,40.1,0.5,24.7,29.7,49.3,1.1
2022,Santa Cruz,18,11,29,8.3,21,8,103,869,2224.0,11,8.3,27,21,7,13,12,9,10,5,19.0,93015,88.0,71,9.5,22,18.7,18.0,1.0,1.9,5.3,0.2,34.0,56.7,50.6,12.0
2022,Shasta,18,16,28,7.3,21,8,73,438,2563.0,18,14.8,22,18,3,15,13,9,15,7,22.0,59108,91.0,68,8.7,22,21.5,21.3,1.1,3.2,3.2,0.2,10.9,78.7,50.9,29.3
2022,Sierra,18,15,30,6.1,21,7,33,240,3135.0,14,7.4,17,17,0,15,13,9,12,25,0.0,59422,93.0,68,8.0,46,16.9,31.1,0.4,2.7,1.0,0.2,12.8,81.9,49.2,99.7
2022,Siskiyou,19,16,31,6.5,21,9,73,483,2353.0,20,20.9,19,15,3,15,14,10,16,11,16.0,49441,90.0,63,9.7,23,20.2,26.8,1.4,5.2,1.6,0.4,13.4,74.7,50.3,65.8
2022,Solano,18,12,31,8.8,20,6,82,418,2861.0,11,12.9,21,16,5,12,11,10,9,4,18.0,83678,89.0,65,9.5,26,21.8,16.8,13.6,1.3,16.5,1.1,27.8,36.3,50.2,3.7
2022,Sonoma,16,11,27,8.9,21,8,102,516,2466.0,9,8.4,23,18,5,12,11,8,9,3,22.0,87366,89.0,68,7.9,21,19.2,21.1,1.6,2.2,4.7,0.4,27.6,62.3,51.2,12.4
2022,Stanislaus,24,14,31,8.2,19,8,66,238,4171.0,17,17.3,23,17,7,14,14,12,12,3,18.0,64501,80.0,54,10.7,22,26.9,13.6,2.7,2.2,6.2,1.0,48.3,39.4,50.4,8.0
2022,Sutter,22,15,29,7.4,19,9,79,374,3042.0,16,10.3,19,13,6,14,14,11,14,8,14.0,65791,80.0,61,11.0,24,25.5,16.2,2.2,2.4,17.6,0.4,32.1,44.1,50.2,14.8
2022,Tehama,23,17,35,6.7,20,9,49,177,3731.0,17,10.6,23,18,5,16,15,11,16,10,8.0,61571,86.0,60,8.8,24,23.7,20.3,0.8,3.4,1.5,0.3,26.6,66.5,50.4,51.5
2022,Trinity,20,17,30,7.0,21,10,33,434,1784.0,26,11.3,20,16,3,16,14,10,16,8,0.0,45113,93.0,59,8.0,41,17.5,29.3,0.6,5.2,1.9,0.3,7.6,81.0,48.8,100.0
2022,Tulare,28,15,36,7.3,16,10,43,300,3428.0,23,17.0,27,18,10,15,16,14,16,5,12.0,62058,72.0,49,13.2,26,30.3,11.9,1.3,2.8,4.1,0.3,66.0,27.1,50.1,15.5
2022,Tuolumne,18,15,28,7.8,23,7,70,229,2127.0,13,14.9,20,16,3,14,13,9,13,6,17.0,63336,91.0,62,10.4,23,16.8,27.3,2.0,2.2,1.5,0.3,13.2,79.0,47.9,49.0
2022,Ventura,18,11,28,9.1,19,10,80,433,2973.0,12,10.2,23,18,7,12,11,10,8,2,18.0,90961,86.0,66,8.6,18,22.3,16.7,1.8,1.9,8.0,0.3,43.4,44.3,50.5,3.1
2022,Yolo,19,12,30,8.5,18,7,124,393,2420.0,11,12.9,24,19,6,13,12,10,11,3,12.0,80668,87.0,72,7.5,21,20.6,13.3,2.5,1.8,15.2,0.6,32.1,45.4,51.6,6.9
2022,Yuba,21,15,31,7.2,19,8,22,238,4100.0,19,13.0,23,16,7,15,14,11,13,11,18.0,56278,82.0,63,10.5,22,27.4,13.3,3.7,3.0,7.6,0.6,29.7,52.8,49.4,26.2
2021,Alameda,15,11,22,8.9,18,5,110,648,3023.0,10,8.7,23,17,7,11,11,7,9,1,11.0,107589,88.0,76,2.9,20,20.3,14.3,10.2,1.1,32.3,0.9,22.3,30.6,50.7,0.4
2021,Alpine,20,18,17,6.8,21,7,0,354,3018.0,30,5.4,28,28,4,16,15,7,15,12,0.0,58112,91.0,52,5.1,42,17.7,26.4,0.4,25.7,1.6,0.0,12.3,61.3,46.1,100.0
2021,Amador,17,16,30,8.3,25,6,63,241,2802.0,13,9.0,18,16,2,14,13,17,11,4,21.0,62640,90.0,62,3.8,18,15.1,27.5,2.5,2.3,1.7,0.3,14.5,77.3,45.6,60.4
2021,Butte,19,17,30,7.4,22,8,61,717,4748.0,16,7.6,22,19,3,15,14,10,14,7,24.0,58394,89.0,69,5.1,21,20.3,18.4,1.6,2.5,5.0,0.3,17.2,70.9,50.5,18.9
2021,Calaveras,16,16,28,8.2,23,7,42,166,2536.0,20,8.0,21,19,2,14,13,11,12,3,20.0,68248,90.0,56,3.8,29,17.1,28.0,0.9,2.0,1.9,0.3,13.0,79.9,50.2,75.4
2021,Colusa,24,16,39,7.8,20,12,28,167,4095.0,15,6.6,20,11,8,15,15,16,14,3,0.0,59048,71.0,51,12.8,19,27.1,14.9,1.0,2.8,1.6,0.6,60.4,34.1,49.1,31.7
2021,Contra Costa,15,11,25,8.9,18,6,103,351,3222.0,10,8.1,20,16,5,12,11,9,9,3,13.0,106555,89.0,72,3.1,20,22.4,16.3,8.7,1.0,18.3,0.6,26.0,42.7,51.1,0.8
2021,Del Norte,23,19,34,6.3,21,7,61,428,2997.0,26,5.8,20,17,4,16,16,17,17,14,17.0,48979,80.0,42,5.7,30,20.9,18.4,3.3,9.7,3.1,0.2,20.1,62.0,45.4,33.7
2021,El Dorado,13,13,26,8.5,24,6,79,346,3131.0,9,8.3,18,16,2,13,11,8,9,6,17.0,86202,93.0,69,3.5,17,19.8,21.9,0.9,1.3,4.8,0.2,13.2,77.2,50.1,34.7
2021,Fresno,25,16,33,7.4,19,9,67,374,3839.0,29,14.4,27,19,9,14,15,10,15,4,12.0,56926,76.0,56,7.2,28,28.2,12.6,4.6,3.0,11.1,0.3,53.8,28.6,50.1,10.8
2021,Glenn,23,17,34,7.7,20,12,14,109,5079.0,18,7.6,21,17,5,15,15,11,14,4,13.0,55682,75.0,46,6.1,23,26.6,15.8,0.8,3.2,3.1,0.2,42.5,50.5,49.1,40.9
2021,Humboldt,18,17,25,7.5,20,8,64,483,2961.0,21,6.1,24,20,4,15,15,10,14,6,28.0,51134,90.0,68,3.6,25,18.9,18.6,1.2,6.4,2.9,0.3,12.1,73.8,50.4,29.8
2021,Imperial,29,16,33,6.2,19,8,25,152,3614.0,31,12.5,26,17,11,15,16,9,19,9,17.0,48102,70.0,53,18.3,31,28.5,13.3,2.4,2.5,2.1,0.2,85.0,10.0,48.7,17.4
2021,Inyo,17,15,27,7.7,23,8,111,466,2118.0,15,6.6,18,13,2,14,13,12,11,12,31.0,59605,89.0,61,3.5,19,20.7,23.4,1.0,13.5,1.7,0.2,23.4,60.8,49.9,46.4
2021,Kern,27,17,31,7.5,19,9,49,203,4466.0,26,16.0,24,17,9,15,17,10,14,5,27.0,53245,74.0,47,7.7,25,28.8,11.2,5.2,2.6,5.4,0.3,54.6,32.8,48.8,10.2
2021,Kings,25,17,34,7.5,19,8,37,205,4114.0,22,15.6,23,16,8,15,16,13,14,5,13.0,57297,73.0,51,7.9,25,27.0,10.5,6.3,3.2,4.4,0.4,55.3,31.3,44.9,10.9
2021,Lake,21,18,22,6.9,21,9,43,367,3652.0,25,3.0,22,20,3,16,16,11,16,9,62.0,46897,86.0,53,5.0,25,21.2,23.1,1.8,4.5,1.4,0.3,22.0,68.9,50.0,33.1
2021,Lassen,21,18,33,7.7,23,5,29,304,3561.0,15,7.0,15,14,1,15,15,15,13,7,24.0,53613,83.0,36,4.6,25,17.3,15.5,8.0,4.3,1.6,0.9,19.3,64.7,37.8,70.5
2021,Los Angeles,21,13,22,8.4,18,10,73,363,4053.0,18,12.0,33,24,12,13,13,9,11,2,10.0,72721,79.0,64,4.4,25,21.4,14.1,8.0,1.4,15.4,0.4,48.6,26.1,50.7,0.6
2021,Madera,26,17,37,7.4,19,11,45,163,3386.0,26,12.1,25,16,10,15,16,12,13,9,13.0,61105,72.0,46,6.9,21,27.4,14.3,3.2,4.4,2.6,0.3,58.8,33.2,51.8,32.9
2021,Marin,12,10,18,9.2,23,5,145,782,2101.0,7,6.4,22,19,4,11,10,8,7,2,14.0,112069,93.0,77,2.3,18,19.8,23.0,2.6,1.0,6.6,0.3,16.3,71.1,51.1,6.5
2021,Mariposa,17,16,16,7.6,22,8,29,291,2908.0,22,9.1,19,17,1,15,13,8,13,6,0.0,52760,91.0,64,4.6,32,16.1,28.9,1.2,3.5,1.6,0.2,12.1,79.3,49.1,100.0
2021,Mendocino,20,17,30,7.6,22,10,88,671,2805.0,20,6.4,27,22,5,15,15,11,14,7,38.0,52309,87.0,58,4.0,28,21.1,23.1,0.8,6.3,2.3,0.3,25.8,64.3,50.4,45.2
2021,Merced,28,16,33,7.2,17,9,45,189,5004.0,23,12.0,25,17,9,15,17,13,15,7,14.0,59733,69.0,49,8.1,26,29.3,11.4,2.9,2.5,7.8,0.4,61.0,26.5,49.5,14.3
2021,Modoc,21,19,26,6.9,21,9,68,339,3327.0,31,5.6,17,15,3,16,15,12,15,12,0.0,45311,85.0,51,7.1,32,19.4,27.5,1.1,5.1,1.2,0.4,14.6,77.2,49.7,70.0
2021,Mono,16,14,29,7.8,23,10,70,201,2297.0,12,5.5,11,10,2,13,12,11,9,15,0.0,66226,89.0,60,3.7,16,17.8,16.1,0.7,2.9,2.6,0.4,26.8,65.8,47.0,45.8
